MovieCode,Period,Crores,actor,STATUS
BDCQ.SED3RFA,2017.09,64052,,F
BDCQ.SED3RFA,2017.12,67775,,F
BDCQ.SED3RFA,2018.03,70403,,F
BDCQ.SED3RFA,2018.06,69622,,F
BDCQ.SED3RFA,2018.09,65052,,F
BDCQ.SED3RFA,2018.12,67939,,F
BDCQ.SED3RFA,2019.03,70829,,F
BDCQ.SED3RFA,2019.06,71286,,F
BDCQ.SED3RFA,2019.09,65693,,F
BDCQ.SED3RFA,2019.12,69502,,F
BDCQ.SED3RFA,2020.03,72657,,F
BDCQ.SED3RFA,2020.06,72629,,F
BDCQ.SED3RFA,2020.09,68279,,F
BDCQ.SED3RFA,2020.12,72540,,F
BDCQ.SED3RFA,2021.03,74917,,F
BDCQ.SED3RFA,2021.06,74490,,F
BDCQ.SED3RFA,2021.09,70549,,F
BDCQ.SED3RFA,2021.12,74311,,F
BDCQ.SED3RFA,2022.03,75771,,F
BDCQ.SED3RGA,2011.06,43219,,F
BDCQ.SED3RGA,2011.09,43290,,F
BDCQ.SED3RGA,2011.12,43879,,F
BDCQ.SED3RGA,2012.03,43537,,F
BDCQ.SED3RGA,2012.06,43336,,F
BDCQ.SED3RGA,2012.09,43136,,F
BDCQ.SED3RGA,2012.12,44149,,F
BDCQ.SED3RGA,2013.03,43744,,F
BDCQ.SED3RGA,2013.06,43757,,F
BDCQ.SED3RGA,2013.09,44036,,F
BDCQ.SED3RGA,2013.12,45374,,F
BDCQ.SED3RGA,2014.03,45394,,F
BDCQ.SED3RGA,2014.06,44461,,F
BDCQ.SED3RGA,2014.09,44861,,F
BDCQ.SED3RGA,2014.12,45448,,F
BDCQ.SED3RGA,2015.03,44680,,F
BDCQ.SED3RGA,2015.06,44529,,F
BDCQ.SED3RGA,2015.09,43853,,F
BDCQ.SED3RGA,2015.12,44323,,F
BDCQ.SED3RGA,2016.03,44214,,F
BDCQ.SED3RGA,2016.06,44483,,F
BDCQ.SED3RGA,2016.09,43923,,F
BDCQ.SED3RGA,2016.12,44731,,F
BDCQ.SED3RGA,2017.03,44784,,F
BDCQ.SED3RGA,2017.06,45176,,F
BDCQ.SED3RGA,2017.09,44516,,F
BDCQ.SED3RGA,2017.12,45546,,F
BDCQ.SED3RGA,2018.03,45305,,F
BDCQ.SED3RGA,2018.06,45266,,F
